block,tx_hash,log_index,event,sender,owner,tickLower,tickUpper,liquidity,amount0,amount1
19338910,0xe3741e85fa6dee04726d45d46f9e54e640ff2cdbbd2e6142475cf5aa2d47aa26,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,21995327148,0,323343042
19339273,0xe98c8f1be1ad3a5e99d2cc0fe33f74f45644a74210b8eb9371dad5b85fcb9844,11,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,70320,73260,33734295,137068,0
19340614,0x77e2852d63772d90dc395dae0e0c3341713930937953148c3b948f56a5dfdb55,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63940,68940,162556148432,352210870,803874401646
19341622,0x7c9f4b46bff8378dddd565121f4b5687ce1c19a061831d558eb1f37d5704a997,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67570,67580,21951542879,374209,0
19342509,0x6dd31261547974dc67465a60ace2b4305c76333a71dd57eceded011c533aecfe,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,21929486200,374207,0
19343412,0x840734a1f859d3111e2e1e31d79c59cf555883aa53a0444c0d7128270e89469f,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67530,67540,21907451682,374205,0
19344310,0xa6e1c83062914eb47f30590121c798d8504219b354826524099d14bdf161e5f8,54,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67470,67480,21843173566,374228,0
19344444,0x851fb228b8f4c2dd65c408797aee0c73ed7437c8f3c4e068875fc5edd123e358,5,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63960,68960,163164460684,408112971,760574870590
19345223,0x2c547b3aae8fb1b518cd48de03e182ec6917c7d7e470852e705fac21ae046344,25,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67450,67460,21821225781,374226,0
19346856,0x8acbc0a41bd9cd912d6aeb2ea760ef1b40e01de1df1b5bf8da37bc630e9fbe73,20,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,68400,71160,32849520,138533,0
19347721,0xdeb7ec348d0693e3eccdd31033335f4bbf1215b46444c06987a4db227a1051e9,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,66940,68810,354739120,796434,263400643
19348065,0x5fb8bad3fa53c69d21febc6462c87176a4f7c56de39e17ed276fb1777910c616,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,163219550589,402941670,765133141371
19350460,0x7a3e42937e51d0124935b0aa421e244123572132f518e1f158f10ab85c7c3210,14,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,67140,68460,62499580,102621,30546623
19350614,0xb37e6df74e76b4faf8babd2ab9119a35e7395331412ce8b9e91369f3e29d3716,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67480,67490,21815257304,0,318458998
