block,tx_hash,log_index,event,owner,tickLower,tickUpper,liquidity,amount0,amount1
19288508,0x022bb6ee613bebfd0573ad62357092a963ff530124ecc2a603f315979106b881,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,22683961645,0,333299653
19288614,0x78678151e995086cd715cf643f75bb0bed70a18eb3a0beeb3c3d14cb290b65e8,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162651368636,336733329,816890211021
19292613,0x59148f0ace8a24ce959e2daa6a077c0e1b46e73b29942719721f9d50a655f519,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162645443517,339504419,814451158834
19294820,0x8bf1dc48dee9acb485711a0272932dfe9e305ea1bf530963c5381879b44a37e6,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67630,67640,22666391413,385237,0
19296376,0xa6a5e1cc9c132f643932627964fcc12bccbca0ebdb63c9a2eee6b8b56792c601,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162650332332,343512362,811019408845
19299309,0xaa0e44ea4999f196a7ae8749412cae5bf441f6dd6348989f465654a01ccdc0fd,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,22661785328,0,333140332
19300147,0x8f525f3d608c660ab2fe3f7d8290988b51f57dc7c9dd65b58c7e06be3017262b,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162657373879,335406295,818080688480
19302020,0x2e9f1777dddff7ff146be834445e5623266097e0bb3bebd5f1d0a6dc31d872b0,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67630,67640,22655556613,0,333215324
19303816,0xc0c4ace4927ad2b1d6b7dc6adcbc25764c196c0ac7819c97d54cf1e599a3120f,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67640,67650,22644232096,0,333215322
19303927,0x4f872656e182cb28a1cc3978136c170ee5e91e0174f66568181169e0f082f933,2,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162643750136,327500011,824848077834
19304710,0xfef30f32e048404b9c23f73ad92a853d2a375e9ba1da4e8950e4c439c5d41a82,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67650,67660,22634108205,0,333232913
19308019,0x1cac92cab19aae52070ef1569201de484b487303edf2e4fbdac16f4b0ce3bd56,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162630685098,322049808,829499491629
19309221,0x2cf38c0cee98f359389749a01913097f8f828863e3b06e1c106ca9ac1ef8fcf5,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67660,67670,22622794410,0,333232911
19311830,0xc584274a66545b63ba559d223c2f8bc94b987d8a27433222abdb6e65f30615b5,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162621876831,318508888,832524244953
19316032,0xe203f1c64c278809c09b4af674f40ab4ef7c579d7386be2fe0e42b3ffbbe4cd5,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162616029124,320995480,830317588048
19319109,0x94073954fda1ada345b0f19ea154c4e835b78d673dfa25a4041ba3c810608cef,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67690,67700,22592742944,0,333289789
19319678,0xdefccb64fc723ab52248a22d6739ad9e62866de4b08601de8e19d4f3d06cbc68,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162620388065,322554900,828989504031
19320909,0x94d0c7d6bfec75993112ff7a84a3b363a9ecb312f03a2a9c6ed8b975813d36ee,9,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67700,67710,22588597585,0,333395284
19321813,0x7b13d43ca5eb82a67a19bf273d7c46b70f364cb7a5a2113847af40a185cbae6d,10,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67750,67760,22537271552,0,333470333
19322709,0xb65eeab0f271f1596ba1fce34951775b6fb61a68de07d9071b74c0f36870af12,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67770,67780,22519310381,0,333537927
19323623,0xefcd38a830b7b7549ee2f41ab7586935377c6a8a5e3d26ff78edf8cca63ce695,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67830,67840,22453777057,0,333566450
19323708,0x0b0f9ccd3f2e08b8ba28f174872a1d76545be05dc87c5a2f29181af15f61e8c6,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162623397938,263301438,881149875468
19324158,0xdb1a20ef46e9870c83a6f91a9bfd0d4dbe389ed47910baa0e097e403f07b7498,1,Burn,0x5977767ef6324864f170318681eccb82315f8761,66600,69060,34045056,64889,63388632
19324337,0x360e9df6945c7be1febb0ff6bd794974f1d2a40d60a9d9e8d72fd8e5c2ee1721,6,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63880,68880,161802328118,283030551,857433632670
19325414,0xa057612c30941b368014321b7239b931cf627a58c43da16bb6c7bca3051e85f2,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67860,67870,22420123186,376695,0
19327222,0xb37e89938ec92ee7f40d856dd5748b960679561a622c6f89639aed8617f68f73,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67840,67850,22407685754,376862,0
