block,amount0,amount1,totalSupply,price,share_price_usd,vault_value_usd
21278958,68306,57933227,59815574,90273.72,1.9994056401e-06,119.60
21288958,63548,62227758,59815574,90378.88,2.0005112803e-06,119.66
21298958,63072,62653150,59815574,90500.68,2.0017151698e-06,119.73
21308958,65184,60737755,59815574,90485.89,2.0014867076e-06,119.72
21318958,62015,63599533,59815574,90458.51,2.0011072067e-06,119.70
21328958,66444,59589097,59815574,90362.84,1.9999771318e-06,119.63
21338958,66765,59293941,59815574,90344.59,1.9996883391e-06,119.61
21348958,66287,59726171,59815574,90377.47,2.0000591156e-06,119.63
21358958,62191,63419361,59815574,90378.24,1.9999221504e-06,119.63
21368958,64693,61154196,59815574,90498.54,2.0011580779e-06,119.70
21378958,65449,60470575,59815574,90440.47,2.0005317858e-06,119.66
21388958,63690,62059756,59815574,90575.58,2.0019425708e-06,119.75
21398958,62663,62990452,59815574,90682.77,2.0030736184e-06,119.81
21408958,60883,64607099,59815574,90876.78,2.0050900127e-06,119.94
21418958,67980,58165415,59815574,90516.65,2.0011282324e-06,119.70
21428958,63663,62060049,59815574,90516.60,2.0009108767e-06,119.69
21438958,61231,64274913,59815574,90971.36,2.0057918039e-06,119.98
21448958,66468,59476735,59815574,91702.81,2.0133512646e-06,120.43
21458958,64058,61685621,59815574,91635.29,2.0126088492e-06,120.39
21468958,61308,64099495,59815574,90605.92,2.0002845742e-06,119.65
21478958,63794,61850555,59815574,90562.91,1.9998847753e-06,119.62
21488958,61869,63588020,59815574,91024.60,2.0045620753e-06,119.90
21498958,57080,67957958,59815574,91455.91,2.0088579102e-06,120.16
21508958,69556,56556417,59815574,91268.11,2.0068161825e-06,120.04
21518958,68050,57930546,59815574,91052.97,2.0043624493e-06,119.89
21528958,63305,62249296,59815574,91128.80,2.0051363498e-06,119.94
21538958,57881,67208423,59815574,91837.74,2.0122690435e-06,120.37
21548958,64858,60799757,59815574,91803.01,2.0118732278e-06,120.34
21558958,64333,61281420,59815574,91842.16,2.0122892892e-06,120.37
21568958,63242,62291329,59815574,91943.07,2.0134883939e-06,120.44
21578958,65105,60498837,59815574,92860.49,2.0221432931e-06,120.96
21588958,63751,61757625,59815574,93270.16,2.0265338537e-06,121.22
21598958,66200,59430866,59815574,93851.99,2.0322613826e-06,121.56
21608958,62099,63274034,59815574,94980.30,2.0438799272e-06,122.26
21618958,61978,63389532,59815574,95092.80,2.0450551140e-06,122.33
21628958,64064,61408247,59815574,94581.42,2.0396174455e-06,122.00
21638958,62609,62789441,59815574,94741.94,2.0413817611e-06,122.11
21648958,63023,62398556,59815574,94673.69,2.0406851475e-06,122.06
21658958,57300,67821846,59815574,95480.09,2.0484955927e-06,122.53
21668958,61162,64070945,59815574,97065.98,2.0636504785e-06,123.44
21678958,58356,66799722,59815574,97068.07,2.0637562678e-06,123.44
21688958,67364,58071956,59815574,96607.48,2.0588387214e-06,123.15
21698958,65611,59769511,59815574,96151.56,2.0539050340e-06,122.86
21708958,59050,66026768,59815574,95874.75,2.0503156969e-06,122.64
21718958,60852,64300655,59815574,96009.76,2.0517151112e-06,122.72
21728958,54993,69947357,59815574,96572.84,2.0572511457e-06,123.06
21738958,57530,67479824,59815574,96457.86,2.0558531051e-06,122.97
21748958,79575,46280517,59815574,95490.05,2.0440616619e-06,122.27
21758958,64679,60608350,59815574,95889.01,2.0501082964e-06,122.63
21768958,59066,65902527,59815574,95080.35,2.0406506016e-06,122.06
21778958,64088,61118142,59815574,95398.65,2.0439029510e-06,122.26
21788958,65109,60147372,59815574,95263.27,2.0424836388e-06,122.17
21798958,60713,64329493,59815574,95093.68,2.0406678916e-06,122.06
21808958,62874,62256343,59815574,95467.90,2.0442975146e-06,122.28
21818958,67509,57838010,59815574,95201.64,2.0414029051e-06,122.11
21828958,66590,58713297,59815574,95254.36,2.0419961944e-06,122.14
21838958,117500,104861368,106170063,94684.02,2.0355557912e-06,216.12
21848958,111298,110713801,106170063,94728.59,2.0358358731e-06,216.14
21858958,109262,112639780,106170063,95120.50,2.0398437298e-06,216.57
21868958,108810,113068191,106170063,95173.37,2.0403711149e-06,216.63
21878958,107853,113977723,106170063,95087.48,2.0394865816e-06,216.53
21888958,107139,114649202,106170063,95049.99,2.0390381629e-06,216.48
21898958,108474,113380135,106170063,95006.96,2.0385970969e-06,216.44
21908958,105989,115742094,106170063,95087.06,2.0394064669e-06,216.52
21918958,111810,110196874,106170063,95202.77,2.0405290213e-06,216.64
21928958,111098,110874977,106170063,95231.10,2.0408278280e-06,216.67
21938958,111556,110440524,106170063,95192.79,2.0404413750e-06,216.63
21948958,109763,112141645,106170063,95068.65,2.0391044484e-06,216.49
21958958,119640,102754560,106170063,94912.27,2.0373690537e-06,216.31
21968958,118098,104202538,106170063,94944.44,2.0375802322e-06,216.33
21978958,111121,110818035,106170063,94948.97,2.0375449738e-06,216.33
21988958,110811,111112852,106170063,94962.00,2.0376854622e-06,216.34
21998958,107416,114336223,106170063,94973.82,2.0377995252e-06,216.35
22008958,111322,110625126,106170063,94914.47,2.0371638061e-06,216.29
22018958,106404,115305812,106170063,95258.19,2.0407290829e-06,216.66
22028958,111503,110443309,106170063,95205.12,2.0401218940e-06,216.60
22038958,132989,89691351,106170063,92342.24,2.0014716121e-06,212.50
22048958,110159,110885681,106170063,92473.49,2.0038940326e-06,212.75
22058958,120526,111201953,111114990,92563.42,2.0048145028e-06,222.76
22068958,99082,121144929,106170063,92916.20,2.0081758679e-06,213.21
22078958,108748,112159648,106170063,92977.27,2.0087637332e-06,213.27
22088958,111970,109162258,106170063,92783.95,2.0067092256e-06,213.05
22098958,554909,636866600,573915666,93138.54,2.0102269419e-06,1153.70
22108958,572625,620379233,573915666,92989.03,2.0087580016e-06,1152.86
22118958,594849,599742192,573915666,92893.79,2.0078210743e-06,1152.32
22128958,590433,603865130,573915666,92610.29,2.0049406868e-06,1150.67
22138958,610879,584996448,573915666,92383.30,2.0026402751e-06,1149.35
22148958,681794,519884119,573915666,90919.10,1.9859452826e-06,1139.77
22158958,601160,593298522,573915666,90910.27,1.9860317270e-06,1139.81
22168958,617009,578834369,573915666,91049.23,1.9874284700e-06,1140.62
22178958,746617,461665277,573915666,90000.99,1.9752518002e-06,1133.63
22188958,651842,547760257,573915666,89692.31,1.9731337822e-06,1132.41
22198958,625089,571897875,573915666,89619.64,1.9725900911e-06,1132.10
22208958,614443,581079734,573915666,88185.45,1.9566099050e-06,1122.93
22218958,614010,581278508,573915666,89183.07,1.9669640537e-06,1128.87
22228958,621164,574904148,573915666,89377.88,1.9690826089e-06,1130.09
22238958,682269,520180764,573915666,89150.38,1.9661880926e-06,1128.43
22248958,616193,579220994,573915666,89216.68,1.9671321367e-06,1128.97
22258958,653934,545632547,573915666,88779.27,1.9622923978e-06,1126.19
22268958,563126,628168496,574831086,89752.51,1.9720370739e-06,1133.59
22278958,625379,572392711,574831086,88396.71,1.9574570690e-06,1125.21
22288958,603734,591370263,574831086,89881.67,1.9727821263e-06,1134.02
22298958,633142,565030223,574831086,89566.50,1.9694713787e-06,1132.11
22308958,605314,589993958,574831086,89846.20,1.9724847864e-06,1133.85
22318958,610351,585521105,574831086,89756.50,1.9716241134e-06,1133.35
22328958,631509,566565416,574831086,89578.65,1.9697310228e-06,1132.26
22338958,617289,583852230,577127497,89718.99,1.9712762282e-06,1137.68
22348958,610076,590269607,577127497,89300.82,1.9667620982e-06,1135.07
22358958,607628,592628888,577127497,89047.27,1.9643927360e-06,1133.71
22368958,567979,628004143,577127497,89393.16,1.9679161334e-06,1135.74
22378958,642318,561698333,577127497,88996.31,1.9637561580e-06,1133.34
22388958,603972,595910319,577127497,89309.39,1.9671805825e-06,1135.31
22398958,604895,595073171,577127497,89574.64,1.9699384803e-06,1136.91
22408958,640242,563466282,577127497,89266.05,1.9666105209e-06,1134.99
22418958,641533,562324934,577127497,88738.62,1.9607668596e-06,1131.61
22428958,621590,580037191,577127497,88894.85,1.9624757388e-06,1132.60
22438958,620847,580733061,577127497,88916.43,1.9627691196e-06,1132.77
22448958,487430,700501486,577127497,90531.94,1.9783866142e-06,1141.78
22458958,700055,509190056,577127497,89189.02,1.9641452385e-06,1133.56
22468958,636588,565875116,577127497,89293.67,1.9654372848e-06,1134.31
22478958,602295,596477515,577127497,89319.21,1.9656707825e-06,1134.44
22488958,609721,589805188,577127497,89507.16,1.9675880221e-06,1135.55
22498958,625515,575678428,577127497,89382.07,1.9662495085e-06,1134.78
22508958,626811,574526769,577127497,89378.60,1.9662234789e-06,1134.76
22528958,630617,571145114,577127497,89090.85,1.9631141791e-06,1132.97
22538958,621242,579502463,577127497,89183.85,1.9641240524e-06,1133.55
22548958,614782,585272129,577127497,89232.59,1.9646578010e-06,1133.86
22558958,628258,573260892,577127497,89090.79,1.9631380184e-06,1132.98
22568958,649654,554214491,577127497,88948.79,1.9615663285e-06,1132.07
22578958,614797,585163003,577127497,88715.44,1.9589828090e-06,1130.58
22588958,613592,586121441,577127497,88234.30,1.9536758146e-06,1127.52
22598958,608899,590258196,577127497,88498.77,1.9564590986e-06,1129.13
22608958,601460,596843619,577127497,88562.80,1.9571298390e-06,1129.51
22618958,688981,519661462,577127497,87813.84,1.9487584954e-06,1124.68
22628958,854476,389726528,584181936,86473.96,1.9319765211e-06,1128.63
22638958,649388,567744892,584181936,86188.14,1.9299472895e-06,1127.44
22648958,601970,603899272,581844224,87296.09,1.9410616801e-06,1129.40
22658958,573939,628065890,581844224,87401.38,1.9415789692e-06,1129.70
22668958,597814,607204788,581844224,87601.88,1.9436492356e-06,1130.90
22678958,632878,576607281,581844224,87374.18,1.9413773950e-06,1129.58
22688958,641826,568764968,581844224,87481.67,1.9425217480e-06,1130.25
22698958,604300,601637605,581844224,87960.79,1.9475739992e-06,1133.18
22708958,627354,581056269,581844224,87613.94,1.9433136825e-06,1130.71
22718958,695626,521311313,581844224,87401.20,1.9408920224e-06,1129.30
22728958,577809,624683354,581844224,88106.73,1.9485833439e-06,1133.77
22738958,620907,586749118,581844224,88199.68,1.9496405901e-06,1134.39
22748958,617234,590002926,581844224,88078.24,1.9483768063e-06,1133.65
22758958,640224,569759308,581844224,88001.65,1.9475436231e-06,1133.17
22768958,624097,583864159,581844224,87590.67,1.9429855105e-06,1130.51
22778958,625980,582144324,581844224,87687.66,1.9439078010e-06,1131.05
22788958,619930,587548953,581844224,88170.75,1.9492260376e-06,1134.15
22798958,589765,613822866,581844224,87989.41,1.9468331668e-06,1132.75
22808958,577598,624464716,581844224,88797.07,1.9547410777e-06,1137.35
22818958,653812,556676520,581844224,88944.72,1.9562070263e-06,1138.21
22828958,637858,570920803,581844224,88736.14,1.9540133267e-06,1136.93
22838958,605243,599894749,581844224,88833.76,1.9550849034e-06,1137.55
22848958,654656,556004931,581844224,88627.98,1.9527792663e-06,1136.21
22858958,567326,633793291,581844224,89523.49,1.9621803520e-06,1141.68
22868958,683767,529369717,581844224,89221.40,1.9583183555e-06,1139.44
22878958,598314,605335825,581844224,89064.68,1.9562319565e-06,1138.22
22888958,615775,589677156,581844224,89227.71,1.9577733066e-06,1139.12
22898958,637845,570202811,581844224,89048.59,1.9561846853e-06,1138.19
22908958,657963,552170222,581844224,88360.96,1.9482064625e-06,1133.55
22918958,615015,589792447,581844224,87910.53,1.9428832570e-06,1130.46
22928958,631377,575371365,581844224,88064.60,1.9444912227e-06,1131.39
22938958,627634,578655346,581844224,87849.14,1.9421460236e-06,1130.03
22948958,599424,603457219,581844224,87886.55,1.9425650652e-06,1130.27
22958958,899330,342804134,581844224,85788.07,1.9151551444e-06,1114.32
22968958,750891,469442285,581844224,84034.70,1.8913159792e-06,1100.45
22978958,589755,604773873,581844224,84199.55,1.8928518795e-06,1101.34
22988958,610425,587401305,581844224,84424.34,1.8952642717e-06,1102.75
22998958,699211,510634896,581844224,82066.31,1.8638176726e-06,1084.45
23008958,624173,572423011,581844224,82619.98,1.8701132906e-06,1088.11
23018958,633769,564757722,581844224,82339.57,1.8675108666e-06,1086.60
23028958,640964,558835780,581844224,82278.72,1.8668445883e-06,1086.21
23038958,630760,567235788,581844224,82365.04,1.8677878044e-06,1086.76
23048958,548245,635558889,581844224,82845.38,1.8729318064e-06,1089.75
23058958,359285,792176696,581844224,83669.65,1.8781473776e-06,1092.79
23068958,629930,565988547,581844224,83673.79,1.8786382919e-06,1093.07
23078958,654634,545285860,581844224,83839.21,1.8804445878e-06,1094.13
23088958,609587,583007735,581844224,83758.15,1.8795177412e-06,1093.59
23098958,675790,527637555,581844224,83459.18,1.8761831665e-06,1091.65
23108958,643937,553896346,581844224,82738.67,1.8676497987e-06,1086.68
23118958,649599,549224316,581844224,82670.86,1.8669144400e-06,1086.25
23128958,832625,399331575,581844224,81130.75,1.8473096966e-06,1074.85
23138958,698112,506589457,581844224,78762.30,1.8156725014e-06,1056.44
23148958,726458,484697776,581844224,77112.47,1.7958200209e-06,1044.89
23158958,565328,610009437,581844224,78434.57,1.8104881099e-06,1053.42
23168958,660801,535399862,581844224,78159.02,1.8078300273e-06,1051.88
23178958,621597,566176143,581844224,78631.55,1.8131098354e-06,1054.95
23188958,597724,584504765,581844224,78283.36,1.8087713651e-06,1052.42
23198958,582432,596664276,581844224,78717.65,1.8134425136e-06,1055.14
23208958,633313,556739508,581844224,78330.49,1.8094477021e-06,1052.82
23218958,652419,541124323,581844224,77036.05,1.7938171212e-06,1043.72
23228958,690231,511512661,581844224,77669.49,1.8005017725e-06,1047.61
23238958,624245,562271592,581844224,76868.96,1.7910673726e-06,1042.12
23248958,576309,599651121,581844224,77550.73,1.7987339631e-06,1046.58
23258958,760678,457665877,581844224,76276.18,1.7837798036e-06,1037.88
23268958,718979,488450581,581844224,75435.12,1.7716309789e-06,1030.81
23278958,626590,558028364,581844224,76668.56,1.7847145902e-06,1038.43
23288958,672182,522556770,581844224,77340.77,1.7915921303e-06,1042.43
